"ID";"DTM";"P";"T";"RM"
"HRADISTE";1901-01-15;88.56;-8.423;11.943
"HRADISTE";1901-02-15;34.01;-7.882;9.221
"HRADISTE";1901-03-15;129.25;0.109;65.606
"HRADISTE";1901-04-15;53.83;5.723;75.626
"HRADISTE";1901-05-15;59.42;10.59;35.533
"HRADISTE";1901-06-15;92.62;14.003;30.597
"HRADISTE";1901-07-15;115.23;15.93;27.02
"HRADISTE";1901-08-15;31.1;14.443;15.048
"HRADISTE";1901-09-15;21.17;10.863;11.173
"HRADISTE";1901-10-15;59.37;7.754;9.431
"HRADISTE";1901-11-15;23.72;-1.03;6.373
"HRADISTE";1901-12-15;50.21;-1.828;5.753
"HRADISTE";1902-01-15;31.36;-0.345;12.641
"HRADISTE";1902-02-15;30.53;-3.431;12.911
"HRADISTE";1902-03-15;50.08;1.092;38.082
"HRADISTE";1902-04-15;63.64;5.654;25.812
"HRADISTE";1902-05-15;56.88;6.783;17.262
"HRADISTE";1902-06-15;112.61;12.293;24.172
"HRADISTE";1902-07-15;158.96;14.336;41.794
"HRADISTE";1902-08-15;109.03;14.263;29.252
"HRADISTE";1902-09-15;47.24;11.087;16.336
"HRADISTE";1902-10-15;45.95;5.614;17.488
"HRADISTE";1902-11-15;49.68;-2.397;17.666
"HRADISTE";1902-12-15;48.59;-5.936;14.441
"HRADISTE";1903-01-15;35.58;-5.276;13.525
"HRADISTE";1903-02-15;33.04;0.243;26.004
"HRADISTE";1903-03-15;61.67;3.021;58.773
"HRADISTE";1903-04-15;46.48;2.914;36.924
"HRADISTE";1903-05-15;132.82;10.812;46.904
"HRADISTE";1903-06-15;138.89;12.658;48.126
"HRADISTE";1903-07-15;114.32;14.865;35.216
"HRADISTE";1903-08-15;95.62;14.998;26.739
"HRADISTE";1903-09-15;60.29;11.232;19.561
"HRADISTE";1903-10-15;65.62;7.685;25.594
"HRADISTE";1903-11-15;55.56;2.07;30.222
"HRADISTE";1903-12-15;45.95;-4.283;23.687
"HRADISTE";1904-01-15;62.87;-4.842;20.663
"HRADISTE";1904-02-15;49.2;-1.828;21.816
"HRADISTE";1904-03-15;30.63;1.607;39.012
"HRADISTE";1904-04-15;106.23;6.876;73.42
"HRADISTE";1904-05-15;49.53;10.342;32.179
"HRADISTE";1904-06-15;93.5;14.144;28.398
"HRADISTE";1904-07-15;189.08;17.434;44.499
"HRADISTE";1904-08-15;120.9;16.2;34.133
"HRADISTE";1904-09-15;75.66;10.241;27.657
"HRADISTE";1904-10-15;89.08;6.556;39.079
"HRADISTE";1904-11-15;16.07;-0.017;25.896
"HRADISTE";1904-12-15;114.34;-2.283;25.407
"HRADISTE";1905-01-15;14.71;-6.549;19.63
"HRADISTE";1905-02-15;69.43;-1.886;21.357
"HRADISTE";1905-03-15;71.89;2.276;61.37
"HRADISTE";1905-04-15;74.54;3.889;82.809
"HRADISTE";1905-05-15;71.03;10.014;36.023
"HRADISTE";1905-06-15;62.78;15.014;30.494
"HRADISTE";1905-07-15;45.03;17.678;21.961
"HRADISTE";1905-08-15;47.33;15.716;16.532
"HRADISTE";1905-09-15;125.67;12.316;15.232
"HRADISTE";1905-10-15;91.09;2.81;29.389
"HRADISTE";1905-11-15;91.62;0.554;44.227
"HRADISTE";1905-12-15;26.81;-2.028;32.472
"HRADISTE";1906-01-15;65.71;-2.856;29.025
"HRADISTE";1906-02-15;62.13;-2.937;26.502
"HRADISTE";1906-03-15;64.26;0.676;52.056
"HRADISTE";1906-04-15;89.99;6.43;72.047
"HRADISTE";1906-05-15;95.32;11.083;42.299
"HRADISTE";1906-06-15;53.47;12.598;28.674
"HRADISTE";1906-07-15;98.35;15.701;25.515
"HRADISTE";1906-08-15;114.63;14.961;21.931
"HRADISTE";1906-09-15;66.94;10.438;14.601
"HRADISTE";1906-10-15;113.33;7.054;39.579
"HRADISTE";1906-11-15;91.24;3.268;46.838
"HRADISTE";1906-12-15;62.99;-5.497;30.806
"HRADISTE";1907-01-15;45.63;-4.01;27.279
"HRADISTE";1907-02-15;47.05;-4.12;24.132
"HRADISTE";1907-03-15;89.25;-0.168;26.123
"HRADISTE";1907-04-15;49.42;3.769;63.904
"HRADISTE";1907-05-15;103.6;12.198;69.826
"HRADISTE";1907-06-15;158.72;13.996;64.593
"HRADISTE";1907-07-15;211.02;13.582;90.086
"HRADISTE";1907-08-15;80.34;15.345;44.199
"HRADISTE";1907-09-15;224.68;11.261;100.137
"HRADISTE";1907-10-15;40.55;10.183;47.987
"HRADISTE";1907-11-15;84.32;-0.548;43.514
"HRADISTE";1907-12-15;43.93;-1.863;38.186
"HRADISTE";1908-01-15;78.09;-5.693;30.206
"HRADISTE";1908-02-15;32.61;-1.549;29.583
"HRADISTE";1908-03-15;54.29;0.261;47.007
"HRADISTE";1908-04-15;105.69;4.338;98.254
"HRADISTE";1908-05-15;63.44;13.151;40.594
